,Message,Favourite Count,Retweet Count,Created At,Source,Username
34,The Lasker-Bloomberg Public Service Award is a well-deserved recognition of @gavi's life-saving work. Congratulatio… https://t.co/5gxMmN0HRv,3243,367,2019-09-12 16:07:00,Sprinklr,Bill Gates
35,"Congratulations @BradSmi and @CarolAnnBrowne! Your insights have never been more relevant, and I am glad others wil… https://t.co/ZbLg0ECuYf",2682,263,2019-09-10 17:51:31,Twitter Web App,Bill Gates
36,"Today, it’s difficult for researchers to diagnose #Alzheimers patients early enough to intervene. A reliable, easy… https://t.co/uYqtjWZEav",6770,1190,2019-09-07 12:00:01,Sprinklr,Bill Gates
37,Here’s a remarkable statistic: Nearly 1.1 billion fewer people are living in extreme poverty today than in 1990.  B… https://t.co/f9vpmYNYXC,8992,1955,2019-09-07 01:29:54,Sprinklr,Bill Gates
38,The fact that a quarter of the kids born on the planet don’t get the right food to develop is a mind-blowing traged… https://t.co/FRuCNA0qV5,8222,1615,2019-09-04 16:39:17,Twitter Media Studio,Bill Gates
39,"Climate change is one of the toughest challenges facing the world. But don’t despair…

Scientists and entrepreneurs… https://t.co/eOXr1S97hr",7816,1402,2019-09-01 12:00:01,Sprinklr,Bill Gates
40,Manufacturing steel is one of the largest sources of greenhouse gas emissions. Boston Metal is working to change th… https://t.co/Xf9uzGmZnY,5767,1131,2019-08-31 17:05:23,Twitter Media Studio,Bill Gates
41,"Tuberculosis is still the leading infectious cause of death worldwide. To #EndTB, we need to continue to develop sa… https://t.co/KnOwQmn5fi",6123,991,2019-08-30 11:54:00,Sprinklr,Bill Gates
42,"Whenever I hear an idea for what we can do to keep global warming in check, I always ask this question: “What’s you… https://t.co/68GxhslFhN",8751,1885,2019-08-27 18:59:00,Sprinklr,Bill Gates
43,"Germany, Italy, and the European Commission have demonstrated great leadership with their commitments to the… https://t.co/JXmHiW8ypO",4583,835,2019-08-27 08:06:35,Sprinklr,Bill Gates
44,"When I think about the world I want for my children, I know that #EqualityCantWait. When women and men can reach th… https://t.co/o93xxXaNlt",5769,1037,2019-08-26 21:35:00,Sprinklr,Bill Gates
45,"Canada’s $930 million commitment to the @GlobalFund is a big step towards saving millions of lives. Their pledge, a… https://t.co/nVgzlrU5Wa",4780,698,2019-08-23 21:29:27,Sprinklr,Bill Gates
46,"If we want to give our kids the best chance possible to succeed after high school, we need more teachers like… https://t.co/YNxA4ZyUgm",4822,529,2019-08-22 12:00:01,Sprinklr,Bill Gates
47,Today marks three years since Nigeria's last wild poliovirus case. This progress wouldn’t have been possible withou… https://t.co/syaeFcPLJd,12455,2126,2019-08-21 17:14:01,Sprinklr,Bill Gates
48,"Tomorrow is #WorldMosquitoDay, when we recognize all of our partners and grantees who are fighting against the worl… https://t.co/Gtqs9x2k2l",6121,1337,2019-08-20 03:04:34,Twitter Media Studio,Bill Gates
49,"I never really learned how to cook. I’m finally learning my way around the kitchen, though, thanks to Robert Hand:… https://t.co/pOpW7x5tAX",8197,804,2019-08-17 14:13:00,Twitter Media Studio,Bill Gates
50,Four billion people are at risk from mosquito-borne diseases. We can get that number down to zero if we invest in n… https://t.co/a0CAhBgYR0,9321,1815,2019-08-14 20:13:00,Sprinklr,Bill Gates
51,I learned a lot from Washington State Teacher of the Year @_MrHand about creating a classroom where kids want to be… https://t.co/RwtyMoqq2X,4746,513,2019-08-14 11:48:00,Sprinklr,Bill Gates
52,"Melinda and I are big fans of @DonorsChoose, and we were thrilled to learn that @WKamauBell is, too. Today, when yo… https://t.co/hisHofhp9l",5184,785,2019-08-13 14:32:17,Twitter Media Studio,Bill Gates
53,"When teachers have the right tools, there’s no telling where it will take them. Today, when you give to… https://t.co/mOzBeKVxxC",6505,1154,2019-08-13 11:30:00,Sprinklr,Bill Gates
54,Being poor isn’t cheap. It’s hundreds of times more expensive to use charging stations than it is to charge a phone… https://t.co/5Wz2O0KWgi,12412,2120,2019-08-10 15:33:55,Sprinklr,Bill Gates
55,"Whenever I want to understand something better, I pick up a book. Here are some of the best ones I’ve read so far t… https://t.co/Gm0HnyPieW",13917,2128,2019-08-09 14:20:28,Sprinklr,Bill Gates
56,There is no question that reliable electricity unlocks a better life for people. But can we power the world without… https://t.co/TX89IYK8ar,7144,1042,2019-08-07 16:57:44,Sprinklr,Bill Gates
57,"Think back to the last time you experienced a power outage. If you live in New York, you don’t have to think that f… https://t.co/BgezIPxLR3",7707,1504,2019-08-05 17:48:29,Sprinklr,Bill Gates
58,"Five years ago, India was declared polio-free. This incredible milestone was made possible by the health workers, g… https://t.co/xQTPqO8JXj",14069,2100,2019-08-01 17:21:00,Sprinklr,Bill Gates
59,"What if we really are all in this together? In this fascinating book, @NAChristakis explains why and how humans evo… https://t.co/1GI9BvvZsq",4745,700,2019-07-29 18:42:01,Sprinklr,Bill Gates
60,10 breakthrough technologies that could help us feed the world and fight climate change at the same time. https://t.co/u8zStX4iwQ,5971,1383,2019-07-29 15:00:01,Sprinklr,Bill Gates
61,It's hard to overstate how important finding a better diagnostic is for fighting #Alzheimers. That’s why I’m invest… https://t.co/47n6kC3jfD,14545,2139,2019-07-29 00:00:00,Sprinklr,Bill Gates
62,"If you read one article about climate change this week, check out this one from @voxdotcom. Government support for… https://t.co/mun7s4P1Dw",9081,1467,2019-07-26 16:18:00,Sprinklr,Bill Gates
63,Are our similarities powerful enough to overcome our differences? “Blueprint” is an optimistic (and terrific) book… https://t.co/jgaVOfk40Y,3944,599,2019-07-23 20:23:32,Sprinklr,Bill Gates
64,"I usually wait until the end of the year to share good news that you might have missed, but I couldn’t resist shari… https://t.co/QpyZG38Y2F",5202,1045,2019-07-21 23:52:00,Sprinklr,Bill Gates
65,Can you imagine an aircraft engine in your car? The @ARPAE Summit is one of the coolest places to learn about new e… https://t.co/dYPOUnFNfl,5597,717,2019-07-20 12:00:00,Sprinklr,Bill Gates
66,The people who will suffer most from climate change are the ones least responsible for it. Here’s how we can help t… https://t.co/GyRTbQ3PPG,8841,2014,2019-07-19 21:58:08,Twitter Media Studio,Bill Gates
67,This is something I would have loved as a kid: @MicrosoftStore is hosting a series of free Camp Know Where events a… https://t.co/umTr600RP8,13762,2116,2019-07-18 16:33:24,Sprinklr,Bill Gates
68,"What political and economic changes are needed to address climate change? If you’re between 16 and 25 years old, sh… https://t.co/DarRwwvtq1",3750,746,2019-07-18 11:18:00,Sprinklr,Bill Gates
69,Last year @GatesUS invested $92 million in networks of schools that are working together to improve student outcome… https://t.co/UKhK7z6QKj,4487,567,2019-07-17 22:47:14,Twitter Media Studio,Bill Gates
70,I recently wrote about how people with tech skills can find fascinating problems to work on in global health and de… https://t.co/ANi6qJVDeH,7303,1463,2019-07-15 03:18:27,Sprinklr,Bill Gates
